model,mae_valid,rmse_valid,r2_valid,mae_test,rmse_test,r2_test,skill_valid,skill_test,skill_rmse_valid,skill_rmse_test
Climatology,1.809398372420864,2.178526078105984,-0.006249411469310129,1.725860348583878,2.085190486898455,0.033064517065183874,,,,
Seasonal naive,2.4892781045751633,3.2357503656277524,-1.24794718740762,2.0536571895424838,2.6821279197694015,-0.8222550249932761,-0.36140452244868126,-0.23698400997699398,-0.4782617376929741,-0.33446027956983837
Persistence,2.334293378995434,3.066532282134729,-0.9370727419159821,2.164074429223744,2.783995794048285,-0.6759344438043624,-0.2696677105426335,-0.22280585807068043,-0.38892396971020915,-0.31217032164188474
Linear Regression,1.8414458106381713,2.2033345949035357,0.013863144229552815,1.9194292347898139,2.231668358455898,-0.021744343788823395,0.013429801883726,-0.044536996515134986,0.011178366557563657,-0.024883913026580995
Gradient Boosting,1.9777872438093262,2.382857645398148,-0.15338016717543024,1.9280591304867696,2.339626422484739,-0.12299019736954708,-0.05961627634352684,-0.04923331204902026,-0.06938873225768605,-0.07446318079072523
LSTM,1.8584183544056625,2.204068006240043,0.0132065355400931,1.847476799476929,2.1513768086680645,0.05045424640917706,0.004336617728918912,-0.0053810957340882926,0.010849223177603173,0.011989629324693718
CNN,1.8395044364356934,2.205291467574842,0.012110708434665884,1.8840880643765132,2.1912918523045892,0.014893060669930236,0.014469909564599148,-0.025304633410651478,0.010300153127903222,-0.006341179532197927
BiLSTM-CNN-Attention,1.909787486906862,2.2597107100058955,-0.03724648426134314,1.9002724503360862,2.2388109931954943,-0.02829516076028682,-0.023184830328901507,-0.03411203802565166,-0.014122340085720664,-0.028164136727159006
