H,model,mae_valid,rmse_valid,r2_valid,mae_test,rmse_test,r2_test,skill_valid,skill_test,skill_rmse_valid,skill_rmse_test
0,BiLSTM-CNN-Attention,0.4035165113662067,0.6532732414130729,0.916281280920078,0.39029524224962,0.6102679323814483,0.9235849027723768,0.7769885739278485,0.7738546791634275,0.700130630531157,0.7073322863230733
0,CNN,0.4975314715735151,0.6626955146573035,0.913848885882442,0.4863660363761717,0.6659273943970061,0.909010383973794,0.7250293361832483,0.7181892284765392,0.6958055626153199,0.6806395393700857
0,Gradient Boosting,0.4056975503779365,0.6307867224543732,0.9219455042756536,0.399447478320638,0.6240275323986084,0.9201002218868132,0.7757831793364895,0.7685516799500046,0.7104525262315058,0.7007335606413605
0,LSTM,0.2972725802999601,0.455129201664225,0.9593648152688266,0.3072998216218986,0.4737037041190419,0.9539582701945468,0.8357063956555749,0.8219439818093928,0.7910838863770153,0.7728247337135917
0,Linear Regression,0.9058265564121544,1.2453228512065313,0.6957737035624113,0.908597750731933,1.166400221825588,0.7208528118179552,0.4993769364342835,0.4735392400216704,0.4283644966558224,0.4406265378850303
1,BiLSTM-CNN-Attention,1.764591846719496,2.126648124995951,0.1163265714211942,1.6902393322131837,1.978061936382966,0.2001885597464786,0.0247632176442269,0.0206395705190877,0.0238133266484172,0.0513759060328506
1,CNN,1.6895297468516073,2.1194476685812185,0.1223003666945461,1.629626081967996,1.969048643798016,0.2074608399261064,0.0662477801441149,0.055760170105794,0.027118522986022,0.0556984332271679
1,Climatology,1.809398372420864,2.178526078105984,-0.0062494114693101,1.725860348583878,2.085190486898455,0.0330645170651838,,,,
1,Gradient Boosting,1.699288154557535,2.134419595158493,0.1098563053291352,1.6212543858642678,2.03599288281752,0.152654844194216,0.0608546020277495,0.0606109079482836,0.020246020183443,0.0235938176344323
1,LSTM,1.6864219838548649,2.0654867713133203,0.1664237029214159,1.613116763645489,1.9088722425545652,0.2551624454475638,0.0679653471786118,0.065326018429532,0.051887975052812,0.0845573799860118
1,Linear Regression,1.7398913224769466,2.1784299914508582,0.0727694412585663,1.6859645157401344,2.0310970396394006,0.156725075711018,0.0384144536677797,0.0231164896258723,4.410626803663664e-05,0.0259417293522732
1,Persistence,1.7032752192982457,2.45591304155855,-0.2707535188862313,1.4111521929824562,2.0490527736197883,0.069917609346314,0.0586510713948703,0.1823485636364782,-0.1273278140850748,0.0173306532452192
1,Seasonal naive,2.4892781045751637,3.2357503656277524,-1.24794718740762,2.053657189542484,2.682127919769401,-0.8222550249932761,-0.3757490569888497,-0.1899324248497702,-0.4852933816798381,-0.286274772794902
3,BiLSTM-CNN-Attention,1.9290248143488669,2.309195271123245,-0.0436973312609061,1.8356182915964652,2.1493200875328773,0.0474304875440286,-0.06611393253767,-0.063596074330491,-0.0599805503043897,-0.0307547924457536
3,CNN,1.90036249401442,2.290466920175303,-0.0268365097728722,1.8603381776849504,2.200311463151801,0.001696014357862,-0.0502731311026058,-0.0779192993288337,-0.0513837512409494,-0.0552088535683754
3,Climatology,1.809398372420864,2.178526078105984,-0.0062494114693101,1.725860348583878,2.085190486898455,0.0330645170651838,,,,
3,Gradient Boosting,1.9706024853925708,2.422680179619829,-0.148802644480146,1.8917368731896465,2.314136615459419,-0.1042628719393212,-0.0890926594324419,-0.0961123678065116,-0.1120730681021331,-0.1097962656167215
3,LSTM,1.87108353909976,2.242964162636385,0.0153136371920503,1.829828470430271,2.132319933890962,0.0624396853061537,-0.0340915343017387,-0.0602413294515411,-0.0295787528907727,-0.0226019863837994
3,Linear Regression,1.8985658369346103,2.284290451514666,-0.021306045872619,1.889736827202185,2.204266988248729,-0.0018965369259338,-0.0492801728313958,-0.0949534988464002,-0.0485485918537333,-0.0571058145998881
3,Persistence,2.2038584444444447,2.9108613827410834,-0.7713162785947036,1.978674444444444,2.6071569639700978,-0.4967124521052048,-0.218006204734128,-0.1464858359298932,-0.3361609080538497,-0.2503207646261727
3,Seasonal naive,2.4892781045751637,3.2357503656277524,-1.24794718740762,2.053657189542484,2.682127919769401,-0.8222550249932761,-0.3757490569888497,-0.1899324248497702,-0.4852933816798381,-0.286274772794902
7,BiLSTM-CNN-Attention,1.909787486906862,2.2597107100058955,-0.0372464842613431,1.9002724503360864,2.2388109931954943,-0.0282951607602868,-0.0554820408905771,-0.1010580617923802,-0.0372658526862774,-0.0736721691674013
7,CNN,1.8395044364356932,2.205291467574842,0.0121107084346658,1.8840880643765128,2.191291852304589,0.0148930606699302,-0.0166387150965263,-0.0916804861543207,-0.0122860082960896,-0.0508832963092742
7,Climatology,1.809398372420864,2.178526078105984,-0.0062494114693101,1.725860348583878,2.085190486898455,0.0330645170651838,,,,
7,Gradient Boosting,1.9777872438093265,2.382857645398148,-0.1533801671754302,1.9280591304867696,2.339626422484739,-0.122990197369547,-0.0930634590784826,-0.117158252154528,-0.0937934915471887,-0.1220204759157213
7,LSTM,1.8584183544056625,2.204068006240043,0.0132065355400931,1.847476799476929,2.1513768086680645,0.050454246409177,-0.0270918680661864,-0.0704671446869042,-0.0117244077960567,-0.031741139327782
7,Linear Regression,1.8414458106381717,2.203334594903536,0.0138631442295528,1.9194292347898136,2.231668358455898,-0.0217443437888233,-0.0177116541640467,-0.112157908004993,-0.0113877529614518,-0.0702467580193673
7,Persistence,2.334293378995434,3.066532282134729,-0.937072741915982,2.164074429223744,2.783995794048285,-0.6759344438043624,-0.2900936657040829,-0.2539105096188312,-0.4076178903494143,-0.3351278032105564
7,Seasonal naive,2.4892781045751637,3.2357503656277524,-1.24794718740762,2.053657189542484,2.682127919769401,-0.8222550249932761,-0.3757490569888497,-0.1899324248497702,-0.4852933816798381,-0.286274772794902
14,BiLSTM-CNN-Attention,1.8175336310471657,2.1770373806207948,0.0080599775520995,1.8754037560853856,2.2058959510722813,0.0180941651799231,-0.0044961124925835,-0.0866486141965152,0.0006833507756233,-0.0578870203620414
14,CNN,1.898100587625437,2.2626743275531624,-0.0715137288283227,1.9214879295387537,2.273220415624436,-0.0427564603750749,-0.0490230435467315,-0.1133507592983373,-0.0386262300428081,-0.0901739816613391
14,Climatology,1.809398372420864,2.178526078105984,-0.0062494114693101,1.725860348583878,2.085190486898455,0.0330645170651838,,,,
14,Gradient Boosting,1.8856399942216568,2.2852210119751364,-0.0929745724047559,1.9277349233872965,2.314817263698582,-0.0812676729860422,-0.0421364487571556,-0.1169703997018432,-0.0489757432520217,-0.1101226857895738
14,LSTM,1.8400382004134523,2.181101164074532,0.0043532963878761,1.9025990173519651,2.225309680087051,0.0007349270409287,-0.016933710375562,-0.102406123944563,-0.0011820312799681,-0.0671973107823886
14,Linear Regression,1.8211795352970448,2.163622015022941,0.0202473999272988,1.9109675764267156,2.2433846576993592,-0.0155639698109713,-0.0065110939944188,-0.1072550441260926,0.0068413516977501,-0.0758655728552668
14,Persistence,2.496668585131894,3.113816326095981,-0.9441079239001456,2.2295014388489207,2.8535825368900976,-0.7050714883333589,-0.3798335530674237,-0.291820303235019,-0.4293224934920863,-0.3684996909488882
14,Seasonal naive,2.4892781045751637,3.2357503656277524,-1.24794718740762,2.053657189542484,2.682127919769401,-0.8222550249932761,-0.3757490569888497,-0.1899324248497702,-0.4852933816798381,-0.286274772794902
