model,mae_valid,rmse_valid,r2_valid,mae_test,rmse_test,r2_test
LSTM,1.6864219838548649,2.0654867713133203,0.16642370292141595,1.613116763645489,1.9088722425545654,0.25516244544756383
CNN,1.6895297468516073,2.1194476685812185,0.12230036669454614,1.629626081967996,1.9690486437980157,0.20746083992610642
BiLSTM-CNN-Attention,1.764591846719496,2.126648124995951,0.11632657142119429,1.6902393322131837,1.978061936382966,0.20018855974647864
