model,mae_valid,rmse_valid,r2_valid,mae_test,rmse_test,r2_test,skill_valid,skill_test,skill_rmse_valid,skill_rmse_test
Climatology,1.809398372420864,2.178526078105984,-0.006249411469310129,1.725860348583878,2.085190486898455,0.033064517065183874,,,,
Seasonal naive,2.4892781045751633,3.2357503656277524,-1.24794718740762,2.0536571895424838,2.6821279197694015,-0.8222550249932761,-0.36140452244868126,-0.23698400997699398,-0.4782617376929741,-0.33446027956983837
Persistence,1.7032752192982457,2.45591304155855,-0.27075351888623134,1.4111521929824562,2.0490527736197883,0.06991760934631408,0.06189982594355126,0.18489490866707703,-0.12430017440120755,0.019669349348824583
Linear Regression,1.7398913224769466,2.1784299914508582,0.07276944125856633,1.6859645157401344,2.0310970396394006,0.156725075711018,0.08050973475817413,0.08632522415730393,0.04072148107272222,0.07160123252046402
Gradient Boosting,1.6992881545575347,2.1344195951584934,0.10985630532913526,1.6212543858642678,2.0359928828175198,0.15265484419421604,0.10196752189555036,0.12139358583224036,0.06010159791761771,0.06936338042200108
LSTM,1.6864219838548649,2.0654867713133203,0.16642370292141595,1.613116763645489,1.9088722425545654,0.25516244544756383,0.1087669803210356,0.12580360756592512,0.09045638435701675,0.12746924313464092
CNN,1.6895297468516073,2.1194476685812185,0.12230036669454614,1.629626081967996,1.9690486437980157,0.20746083992610642,0.1071246031304216,0.11685671243449924,0.06669453301716188,0.09996307496273915
BiLSTM-CNN-Attention,1.764591846719496,2.126648124995951,0.11632657142119429,1.6902393322131837,1.978061936382966,0.20018855974647864,0.06745610819311898,0.0840085728005775,0.06352378931998925,0.09584316854591635
