model,mae_valid,rmse_valid,r2_valid,mae_test,rmse_test,r2_test,skill_valid,skill_test,skill_rmse_valid,skill_rmse_test
Climatology,1.809398372420864,2.178526078105984,-0.006249411469310129,1.725860348583878,2.085190486898455,0.033064517065183874,,,,
Seasonal naive,2.4892781045751633,3.2357503656277524,-1.24794718740762,2.0536571895424838,2.6821279197694015,-0.8222550249932761,-0.36140452244868126,-0.23698400997699398,-0.4782617376929741,-0.33446027956983837
Persistence,2.2038584444444447,2.9108613827410834,-0.7713162785947036,1.9786744444444442,2.6071569639700978,-0.49671245210520487,-0.21323020821058725,-0.1334847525865568,-0.33139802214640834,-0.2404558944235271
Linear Regression,1.8985658369346103,2.284290451514666,-0.021306045872619084,1.889736827202185,2.204266988248729,-0.0018965369259338338,-0.008893225980169284,-0.027172304951739168,-0.010040751476663168,-0.010932878402860835
Gradient Boosting,1.9706024853925708,2.422680179619829,-0.14880264448014602,1.8917368731896462,2.314136615459419,-0.10426287193932127,-0.04717332416675335,-0.028259436142377803,-0.07123229779657425,-0.06132188258306526
LSTM,1.87108353909976,2.2429641626363854,0.015313637192050367,1.829828470430271,2.132319933890962,0.062439685306153736,0.005710799637776542,0.00539106790816557,0.008232422080001744,0.022063869787017354
CNN,1.90036249401442,2.290466920175303,-0.02683650977287222,1.8603381776849506,2.2003114631518015,0.0016960143578620412,-0.009847965142734116,-0.011192577958857086,-0.012771789923777144,-0.00911877403476491
BiLSTM-CNN-Attention,1.9290248143488669,2.309195271123245,-0.043697331260906136,1.8356182915964654,2.1493200875328773,0.04743048754402868,-0.025079051820763976,0.0022439926821705702,-0.021052872416082336,0.01426716714340237
