baseline,mae_valid,rmse_valid,r2_valid,mae_test,rmse_test,r2_test,skill_valid,skill_test
Climatology,1.809398372420864,2.178526078105984,-0.006249411469310129,1.725860348583878,2.085190486898455,0.033064517065183874,,
Persistence,1.7032752192982457,2.45591304155855,-0.27075351888623134,1.4111521929824562,2.0490527736197883,0.06991760934631408,0.05865107139487036,0.18234856363647822
Seasonal naive,2.4892781045751633,3.2357503656277524,-1.24794718740762,2.0536571895424838,2.6821279197694015,-0.8222550249932761,-0.37574905698884975,-0.18993242484977024
Linear regression,1.7398913224769466,2.1784299914508582,0.07276944125856633,1.6859645157401344,2.0310970396394006,0.156725075711018,0.038414453667779735,0.023116489625872316
Gradient boosting,1.6992881545575347,2.1344195951584934,0.10985630532913526,1.6212543858642678,2.0359928828175198,0.15265484419421604,0.060854602027749505,0.06061090794828361
