model,mae_valid,rmse_valid,r2_valid,mae_test,rmse_test,r2_test,skill_valid,skill_test,skill_rmse_valid,skill_rmse_test
Climatology,1.809398372420864,2.178526078105984,-0.006249411469310129,1.725860348583878,2.085190486898455,0.033064517065183874,,,,
Seasonal naive,2.4892781045751633,3.2357503656277524,-1.24794718740762,2.0536571895424838,2.6821279197694015,-0.8222550249932761,-0.36140452244868126,-0.23698400997699398,-0.4782617376929741,-0.33446027956983837
Persistence,2.496668585131894,3.113816326095981,-0.9441079239001455,2.2295014388489207,2.8535825368900976,-0.7050714883333589,-0.33763127515703695,-0.22855903710366765,-0.38970705396852856,-0.3211332535725395
Linear Regression,1.8211795352970448,2.163622015022941,0.020247399927298848,1.9109675764267153,2.2433846576993592,-0.015563969810971301,0.006954535795603012,-0.039710118828563123,0.012080996266247257,-0.03247849698627525
Gradient Boosting,1.8856399942216566,2.2852210119751364,-0.09297457240475593,1.9277349233872965,2.314817263698582,-0.0812676729860422,-0.02819420441093512,-0.04883281694017816,-0.04344162232883253,-0.06535410279233678
LSTM,1.8400382004134523,2.1811011640745317,0.004353296387876182,1.9025990173519653,2.225309680087051,0.0007349270409287012,-0.0033286413935935677,-0.035156993146388205,0.0040999425529542055,-0.02415980511407767
CNN,1.8981005876254373,2.2626743275531624,-0.07151372882832274,1.9214879295387537,2.2732204156244356,-0.04275646037507497,-0.034988666747621355,-0.045433982341040346,-0.03314671043710837,-0.04620988201345111
BiLSTM-CNN-Attention,1.8175336310471657,2.1770373806207948,0.008059977552099529,1.8754037560853858,2.2058959510722813,0.018094165179923127,0.00894255982513692,-0.020360725186719053,0.005955483342024559,-0.015224976356434272
